datadate,tic,prccd,ajexdi,prcod,prchd,prcld,cshtrd
20241009,ACB,22049.44,1.0,21503.45,22049.44,21461.45,23813941
20241010,ACB,22007.44,1.0,22175.43,22259.43,21881.44,10809085
20241011,ACB,21923.44,1.0,21923.44,21965.44,21755.44,7809723
20241014,ACB,21797.44,1.0,21965.44,22049.44,21797.44,10746584
20241015,ACB,21713.45,1.0,21797.44,22007.44,21671.45,8464263
20241016,ACB,21629.45,1.0,21629.45,21713.45,21503.45,6423497
20241017,ACB,21965.44,1.0,21755.44,21965.44,21629.45,10946708
20241018,ACB,21923.44,1.0,22049.44,22259.43,21797.44,13679278
20241021,ACB,21671.45,1.0,21839.44,21923.44,21671.45,6585882
20241022,ACB,21335.45,1.0,21671.45,21713.45,21335.45,14423344
20241023,ACB,21335.45,1.0,21335.45,21461.45,21125.46,9167019
20241024,ACB,20999.46,1.0,21335.45,21377.45,20999.46,10627295
20241025,ACB,20915.47,1.0,20999.46,21083.46,20873.47,10976947
20241028,ACB,21125.46,1.0,20915.47,21125.46,20789.47,5947294
20241029,ACB,21167.46,1.0,21251.46,21251.46,21083.46,4972508
20241030,ACB,21083.46,1.0,21167.46,21209.46,20957.46,4610117
20241031,ACB,21335.45,1.0,21083.46,21377.45,21041.46,6041225
20241101,ACB,20915.47,1.0,21251.46,21335.45,20915.47,9351905
20241104,ACB,20789.47,1.0,20999.46,21041.46,20705.47,10853491
20241105,ACB,20789.47,1.0,20831.47,20915.47,20789.47,3650212
20241106,ACB,21083.46,1.0,20915.47,21167.46,20831.47,7431618
20241107,ACB,21083.46,1.0,21167.46,21251.46,20915.47,5763480
20241108,ACB,20915.47,1.0,21083.46,21167.46,20789.47,9787631
20241111,ACB,20873.47,1.0,20915.47,20999.46,20705.47,8026514
20241112,ACB,20873.47,1.0,20831.47,20957.46,20705.47,4932149
20241113,ACB,20915.47,1.0,20831.47,20915.47,20663.47,7607456
20241114,ACB,20621.47,1.0,20705.47,20873.47,20621.47,6899342
20241115,ACB,20495.48,1.0,20621.47,20663.47,20411.48,11044925
20241118,ACB,20579.47,1.0,20495.48,20663.47,20243.48,9650960
20241119,ACB,20411.48,1.0,20579.47,20621.47,20411.48,6886723
20241120,ACB,20579.47,1.0,20327.48,20621.47,20285.48,7425904
20241121,ACB,20873.47,1.0,20579.47,20873.47,20369.48,9026421
20241122,ACB,20957.46,1.0,20873.47,20957.46,20705.47,6778506
20241125,ACB,20915.47,1.0,20957.46,20999.46,20831.47,4891434
20241126,ACB,20999.46,1.0,20915.47,21083.46,20873.47,4236536
20241127,ACB,21041.46,1.0,20957.46,21167.46,20957.46,3267583
20241128,ACB,21125.46,1.0,21125.46,21167.46,20957.46,5466925
20241129,ACB,21167.46,1.0,21125.46,21167.46,20999.46,4619165
20241202,ACB,21125.46,1.0,21209.46,21293.46,21041.46,2961623
20241203,ACB,20999.46,1.0,21167.46,21167.46,20957.46,7294591
20241204,ACB,21041.46,1.0,20957.46,21041.46,20873.47,5495378
20241205,ACB,21587.45,1.0,20999.46,21587.45,20957.46,9842037
20241206,ACB,21545.45,1.0,21419.45,21629.45,21419.45,7201969
20241209,ACB,21419.45,1.0,21503.45,21545.45,21293.46,6445640
20241210,ACB,21293.46,1.0,21419.45,21419.45,21293.46,4046651
20241211,ACB,21335.45,1.0,21293.46,21419.45,21167.46,10508959
20241212,ACB,21251.46,1.0,21335.45,21419.45,21209.46,6980535
20241213,ACB,21125.46,1.0,21251.46,21251.46,21083.46,7190898
